lead_id,source_code,category code
lead_162,source1,source1_4
lead_163,source5,
lead_164,source5,
lead_165,source1,source1_4
lead_166,source1,source1_7
lead_167,source2,source2_4
lead_168,source1,source1_7
lead_169,source1,source1_2
lead_170,source5,
lead_171,source1,source1_2
lead_172,source1,source1_16
lead_173,source1,source1_7
lead_174,source1,source1_3
lead_175,source2,source2_3
lead_176,source3,source3_6
lead_177,source1,source1_10
lead_178,source1,source1_6
lead_179,source1,source1_9
lead_180,source1,source1_7
lead_181,source1,source1_7
lead_182,source1,source1_2
lead_183,source1,source1_6
lead_184,source1,source1_7
lead_185,source1,source1_2
lead_186,source1,source1_4
lead_187,source1,source1_7
lead_188,source3,source3_6
lead_189,source1,source1_7
lead_190,source2,source2_4
lead_191,source1,source1_7
lead_192,source1,source1_7
lead_193,source1,source1_7
lead_194,source1,source1_10
lead_195,source1,source1_3
lead_196,source1,source1_4
lead_197,source1,source1_7
lead_198,source1,source1_4
lead_199,source5,
lead_200,source5,
lead_201,source2,source2_4
lead_202,source1,source1_10
lead_203,source3,source3_3
lead_204,source1,source1_4
lead_205,source1,source1_7
lead_206,source1,source1_2
lead_207,source1,source1_11
lead_208,source5,
lead_209,source2,source2_4
lead_210,source5,
lead_211,source1,source1_2
lead_212,source1,source1_7
lead_213,source2,source2_4
lead_214,source1,source1_7
lead_215,source1,source1_4
lead_216,source1,source1_17
lead_217,source2,source2_4
lead_218,source1,source1_4
lead_219,source1,source1_2
lead_220,source1,source1_6
lead_221,source5 ,
lead_222,source1,source1_6
lead_223,source1,source1_4
lead_224,source1,source1_7
lead_225,source1,source1_1
lead_226,source1,source1_7
lead_227,source1,source1_7
lead_228,source1,source1_4
lead_229,source1,source1_7
lead_230,source1,source1_7
lead_231,source2,source2_4
lead_232,source1,source1_2
lead_233,source5,
lead_234,source1,source1_3
lead_235,source1,source1_6
lead_236,source1,source1_3
lead_237,source1,source1_11
lead_238,source5,
lead_239,source1,source1_7
lead_240,source5,
lead_241,source5,
lead_242,source1,source1_18
lead_243,source1,source1_7
lead_244,source1,source1_10
lead_245,source1,source1_7
lead_246,source5,
lead_247,source5,
lead_248,source1,source1_19
lead_249,source1,source1_7
lead_250,source1,source1_7
lead_251,source1,source1_6
lead_252,source1,source1_2
lead_253,source1,source1_13
lead_254,source1,source1_7
lead_255,source5 ,
lead_256,source5,
lead_257,source1,source1_20
lead_258,source1,source1_10
lead_259,source1,source1_10
lead_260,source2,source2_4
lead_261,source1,source1_11
lead_262,source5,
lead_263,source1,source1_7
lead_264,source1,source1_7
lead_265,source1,source1_4
lead_266,source4,source4_2
lead_267,source1,source1_3
lead_268,source1,source1_7
lead_269,source1,source1_7
lead_270,source1,source1_10
lead_271,source1,source1_7
lead_272,source1,source1_7
lead_273,source5,
lead_274,source1,source1_6
lead_275,source1,source1_7
lead_276,source1,source1_4
lead_277,source1,source1_4
lead_278,source1,source1_2
lead_279,source5,
lead_280,source1,source1_7
lead_281,source1,source1_6
lead_282,source5,
lead_283,source3,source3_3
lead_284,source2,source2_4
lead_285,source2,source2_4
lead_286,source1,source1_3
lead_287,source1,source1_7
lead_288,source1,source1_5
lead_289,source2,source2_4
lead_290,source1,source1_3
lead_291,source1,source1_7
lead_292,source1,source1_6
lead_293,source1,source1_3
lead_294,source1,source1_4
lead_295,source1,source1_21
lead_296,source5,
lead_297,source5,
lead_298,source1,source1_7
lead_299,source2,source2_1
lead_300,source1,source1_1
lead_301,source1,source1_3
lead_302,source1,source1_7
lead_303,source1,source1_7
lead_304,source5,
lead_305,source1,source1_7
lead_306,source1,source1_4
lead_307,source5,
lead_308,source1,source1_4
lead_309,source1,source1_7
lead_310,source1,source1_7
lead_311,source1,source1_13
lead_312,source1,source1_7
lead_313,source1,source1_7
lead_314,source5,
lead_315,source1,source1_2
lead_316,source2,source2_4
lead_317,source1,source1_10
lead_318,source1,source1_4
lead_319,source1,source1_6
lead_320,source1,source1_2
lead_321,source1,source1_7
lead_322,source1,source1_3
lead_323,source1,source1_6
lead_324,source1,source1_7
lead_325,source1,source1_10
lead_326,source1,source1_7
lead_327,source5,
lead_328,source1,source1_7
lead_329,source1,source1_2
lead_330,source1,source1_6
lead_331,source5 ,
lead_332,source1,source1_15
lead_333,source1,source1_6
lead_334,source1,source1_4
lead_335,source1,source1_4
lead_336,source5,
lead_337,source1,source1_3
lead_338,source2,source2_4
lead_339,source1,source1_7
lead_340,source1,source1_7
lead_341,source1,source1_4
lead_342,source1,source1_7
lead_343,source1,source1_2
lead_344,source1,source1_3
lead_345,source5,
lead_346,source1,source1_7
lead_347,source5,
lead_348,source5,
lead_349,source1,source1_6
lead_350,source1,source1_7
lead_351,source1,source1_7
lead_352,source3,source3_2
lead_353,source1,source1_4
lead_354,source5,
lead_355,source1,source1_6
lead_356,source2,source2_4
lead_357,source1,source1_2
lead_358,source5,
lead_359,source1,source1_3
lead_360,source5,
lead_361,source1,source1_7
lead_362,source3,source3_4
lead_363,source1,source1_7
lead_364,source1,source1_6
lead_365,source3,source3_6
lead_366,source2,source2_4
lead_367,source5,
lead_368,source1,source1_3
lead_369,source5,
lead_370,source1,source1_6
lead_371,source1,source1_3
lead_372,source1,source1_7
lead_373,source1,source1_6
lead_374,source1,source1_3
lead_375,source1,source1_3
lead_376,source1,source1_7
lead_377,source1,source1_6
lead_378,source1,source1_9
lead_379,source1,source1_6
lead_380,source5,
lead_381,source1,source1_6
lead_382,source5,
lead_383,source1,source1_4
lead_384,source5,
lead_385,source1,source1_4
lead_386,source1,source1_7
lead_387,source1,source1_1
lead_388,source1,source1_7
lead_389,source1,source1_22
lead_390,source1,source1_4
lead_391,source1,source1_7
lead_392,source5,
lead_393,source1,source1_7
lead_394,source1,source1_9
lead_395,source5,
lead_396,source5,
lead_397,source1,source1_4
lead_398,source2,source2_4
lead_399,source1,source1_7
lead_400,source1,source1_7
lead_401,source5,
lead_402,source1,source1_7
lead_403,source1,source1_7
lead_404,source2,source2_4
lead_405,source1,source1_7
lead_406,source1,source1_2
lead_407,source1,source1_4
lead_408,source1,source1_6
lead_409,source1,source1_7
lead_410,source1,source1_23
lead_411,source5,
lead_412,source5 ,
lead_413,source1,source1_7
lead_414,source1,source1_11
lead_415,source5,
lead_416,source2,source2_4
lead_417,source5,
lead_418,source1,source1_4
lead_419,source1,source1_10
lead_420,source2,source2_4
lead_421,source1,source1_3
lead_422,source1,source1_4
lead_423,source1,source1_7
lead_424,source1,source1_4
lead_425,source5,
lead_426,source1,source1_1
lead_427,source2,source2_4
lead_428,source2,source2_4
lead_429,source1,source1_10
lead_430,source1,source1_10
lead_431,source1,source1_7
lead_432,source5,
lead_433,source1,source1_7
lead_434,source1,source1_24
lead_435,source5,
lead_436,source2,source2_4
lead_437,source1,source1_11
lead_438,source1,source1_7
lead_439,source5,
lead_440,source1,source1_7
lead_441,source2,source2_4
lead_442,source1,source1_2
lead_443,source1,source1_6
lead_444,source1,source1_4
lead_445,source1,source1_6
lead_446,source1,source1_6
lead_447,source1,source1_7
lead_448,source1,source1_2
lead_449,source1,source1_3
lead_450,source1,source1_18
lead_451,source1,source1_7
lead_452,source1,source1_7
lead_453,source1,source1_2
lead_454,source2,source2_4
lead_455,source2,source2_4
lead_456,source5,
lead_457,source1,source1_2
lead_458,source1,source1_6
lead_459,source5,
lead_460,source1,source1_7
lead_461,source2,source2_4
lead_462,source5,
lead_463,source1,source1_6
lead_464,source5,
lead_465,source1,source1_6
lead_466,source1,source1_10
lead_467,source2,source2_4
lead_468,source2,source2_4
lead_469,source1,source1_4
lead_470,source1,source1_7
lead_471,source5 ,
lead_472,source1,source1_2
lead_473,source1,source1_2
lead_474,source5,
lead_475,source1,source1_7
lead_476,source1,source1_22
lead_477,source4,source4_2
lead_478,source3,source3_6
lead_479,source1,source1_4
lead_480,source1,source1_7
lead_481,source2,source2_4
lead_482,source1,source1_1
lead_483,source1,source1_4
lead_484,source2,source2_4
lead_485,source1,source1_4
lead_486,source1,source1_7
lead_487,source1,source1_7
lead_488,source1,source1_6
lead_489,source1,source1_6
lead_490,source1,source1_4
lead_491,source2,source2_4
lead_492,source1,source1_7
lead_493,source5,
lead_494,source2,source2_4
lead_495,source1,source1_25
lead_496,source5,
lead_497,source1,source1_22
lead_498,source5,
lead_499,source5,
lead_500,source1,source1_2
lead_501,source1,source1_7
lead_502,source1,source1_7
lead_503,source1,source1_6
lead_504,source5,
lead_505,source1,source1_10
lead_506,source5 ,
lead_507,source1,source1_2
lead_508,source5,
lead_509,source1,source1_7
lead_510,source5,
lead_511,source1,source1_3
lead_512,source1,source1_6
lead_513,source1,source1_6
lead_514,source1,source1_2
lead_515,source1,source1_3
lead_516,source1,source1_26
lead_517,source2,source2_4
lead_518,source1,source1_4
lead_519,source1,source1_4
lead_520,source5,
lead_521,source1,source1_7
lead_522,source1,source1_4
lead_523,source1,source1_2
lead_524,source1,source1_2
lead_525,source2,source2_4
lead_526,source1,source1_1
lead_527,source1,source1_1
lead_528,source1,source1_7
lead_529,source5,
lead_530,source1,source1_6
lead_531,source4,source4_1
lead_532,source5,
lead_533,source1,source1_4
lead_534,source1,source1_7
lead_535,source1,source1_6
lead_536,source2,source2_4
lead_537,source1,source1_15
lead_538,source1,source1_3
lead_539,source2,source2_2
lead_540,source1,source1_4
lead_541,source5,
lead_542,source1,source1_27
lead_543,source1,source1_11
lead_544,source2,source2_4
lead_545,source1,source1_7
lead_546,source1,source1_4
lead_547,source1,source1_3
lead_548,source1,source1_6
lead_549,source5,
lead_550,source1,source1_3
lead_551,source5,
lead_552,source2,source2_4
lead_553,source1,source1_7
lead_554,source1,source1_6
lead_555,source1,source1_15
lead_556,source1,source1_1
lead_557,source1,source1_9
lead_558,source5,
lead_559,source1,source1_7
lead_560,source1,source1_7
lead_561,source1,source1_7
lead_562,source1,source1_4
lead_563,source1,source1_7
lead_564,source2,source2_4
lead_565,source1,source1_7
lead_566,source1,source1_2
lead_567,source5,
lead_568,source5,
lead_569,source5,
lead_570,source3,source3_3
lead_571,source5,
lead_572,source1,source1_4
lead_573,source5,
lead_574,source1,source1_2
lead_575,source2,source2_1
lead_576,source2,source2_4
lead_577,source1,source1_4
lead_578,source1,source1_6
lead_579,source2,source2_4
lead_580,source5,
lead_581,source1,source1_9
lead_582,source5,
lead_583,source2,source2_4
lead_584,source1,source1_7
lead_585,source2,source2_4
lead_586,source5,
lead_587,source1,source1_4
lead_588,source1,source1_2
lead_589,source5 ,
lead_590,source5,
lead_591,source5,
lead_592,source1,source1_2
lead_593,source1,source1_2
lead_594,source2,source2_4
lead_595,source5,
lead_596,source5,
lead_597,source1,source1_7
lead_598,source1,source1_7
lead_599,source1,source1_6
lead_600,source1,source1_6
lead_601,source1,source1_6
lead_602,source5,
lead_603,source1,source1_7
lead_604,source1,source1_3
lead_605,source2,source2_4
lead_606,source5,
lead_607,source1,source1_4
lead_608,source5,
lead_609,source2,source2_4
lead_610,source1,source1_7
lead_611,source2,source2_4
lead_612,source1,source1_28
lead_613,source1,source1_8
lead_614,source1,source1_1
lead_615,source5,
lead_616,source2,source2_4
lead_617,source1,source1_2
lead_618,source2,source2_1
lead_619,source5,
lead_620,source1,source1_7
lead_621,source2,source2_4
lead_622,source1,source1_4
lead_623,source1,source1_2
lead_624,source1,source1_7
lead_625,source1,source1_7
lead_626,source1,source1_7
lead_627,source5 ,
lead_628,source1,source1_7
lead_629,source5,
lead_630,source5,
lead_631,source1,source1_7
lead_632,source1,source1_16
lead_633,source1,source1_2
lead_634,source1,source1_2
lead_635,source1,source1_7
lead_636,source1,source1_6
lead_637,source5,
lead_638,source2,source2_4
lead_639,source5,
lead_640,source1,source1_7
lead_641,source1,source1_4
lead_642,source1,source1_4
lead_643,source1,source1_7
lead_644,source2,source2_3
lead_645,source1,source1_6
lead_646,source2,source2_4
lead_647,source1,source1_1
lead_648,source1,source1_7
lead_649,source1,source1_6
lead_650,source1,source1_7
lead_651,source1,source1_4
lead_652,source1,source1_7
lead_653,source1,source1_6
lead_654,source1,source1_4
lead_655,source5,
lead_656,source1,source1_2
lead_657,source2,source2_4
lead_658,source1,source1_7
lead_659,source1,source1_4
lead_660,source5,
lead_661,source5 ,
lead_662,source1,source1_7
lead_663,source1,source1_7
lead_664,source1,source1_4
lead_665,source1,source1_4
lead_666,source1,source1_7
lead_667,source1,source1_7
lead_668,source1,source1_7
lead_669,source1,source1_2
lead_670,source1,source1_7
lead_671,source1,source1_7
lead_672,source5,
lead_673,source1,source1_2
lead_674,source1,source1_7
lead_675,source5,
lead_676,source1,source1_7
lead_677,source1,source1_7
lead_678,source1,source1_2
lead_679,source1,source1_6
lead_680,source1,source1_7
lead_681,source1,source1_7
lead_682,source1,source1_28
lead_683,source1,source1_4
lead_684,source1,source1_3
lead_685,source1,source1_7
lead_686,source5,
lead_687,source1,source1_10
lead_688,source1,source1_2
lead_689,source1,source1_4
lead_690,source1,source1_2
lead_691,source5,
lead_692,source1,source1_3
lead_693,source1,source1_1
lead_694,source1,source1_10
lead_695,source1,source1_1
lead_696,source2,source2_4
lead_697,source1,source1_15
lead_698,source2,source2_4
lead_699,source5,
lead_700,source1,source1_7
lead_701,source1,source1_7
lead_702,source2,source2_4
lead_703,source1,source1_7
lead_704,source1,source1_7
lead_705,source1,source1_2
lead_706,source2,source2_4
lead_707,source1,source1_4
lead_708,source5,   
lead_709,source1,source1_7
lead_710,source5,   
lead_711,source1,source1_10
lead_712,source3,source3_6
lead_713,source1,source1_7
lead_714,source1,source1_4
lead_715,source1,source1_4
lead_716,source1,source1_3
lead_717,source1,source1_7
lead_718,source1,source1_7
lead_719,source1,source1_7
lead_720,source3,source3_6
lead_721,source1,source1_2
lead_722,source1,source1_10
lead_723,source3,source3_4
lead_724,source5,   
lead_725,source1,source1_22
lead_726,source5,   
lead_727,source1,source1_7
lead_728,source1,source1_7
lead_729,source1,source1_6
lead_730,source1,source1_4
lead_731,source1,source1_7
lead_732,source1,source1_26
lead_733,source1,source1_7
lead_734,source1,source1_6
lead_735,source1,source1_2
lead_736,source5,   
lead_737,source5,   
lead_738,source5,   
lead_739,source5,   
lead_740,source1,source1_2
lead_741,source1,source1_2
lead_742,source1,source1_7
lead_743,source1,source1_2
lead_744,source1,source1_4
lead_745,source1,source1_3
lead_746,source1,source1_6
lead_747,source1,source1_3
lead_748,source5,   
lead_749,source1,source1_6
lead_750,source1,source1_29
lead_751,source2,source2_4
lead_752,source2,source2_1
lead_753,source5,   
lead_754,source5,   
lead_755,source1,source1_7
lead_756,source1,source1_3
lead_757,source1,source1_7
lead_758,source1,source1_7
lead_759,source1,source1_4
lead_760,source1,source1_23
lead_761,source3,source3_6
lead_762,source1,source1_6
lead_763,source2,source2_4
lead_764,source1,source1_7
lead_765,source5,   
lead_766,source2,source2_3
lead_767,source1,source1_7
lead_768,source1,source1_15
lead_769,source1,source1_4
lead_770,source1,source1_4
lead_771,source5,   
lead_772,source1,source1_7
lead_773,source1,source1_7
lead_774,source1,source1_23
lead_775,source5,   
lead_776,source5 ,   
lead_777,source2,source2_4
lead_778,source2,source2_4
lead_779,source1,source1_4
lead_780,source5,
lead_781,source1,source1_10
lead_782,source1,source1_6
lead_783,source3,source3_3
lead_784,source2,source2_4
lead_785,source5,
lead_786,source2,source2_4
lead_787,source5,
lead_788,source1,source1_7
lead_789,source1,source1_7
lead_790,source1,source1_7
lead_791,source1,source1_4
lead_792,source1,source1_4
lead_793,source1,source1_7
lead_794,source5,
lead_795,source1,source1_7
lead_796,source2,source2_4
lead_797,source1,source1_10
lead_798,source5,
lead_799,source1,source1_7
lead_800,source1,source1_4
lead_801,source5,
lead_802,source1,source1_10
lead_803,source5,
lead_804,source1,source1_2
lead_805,source1,source1_7
lead_806,source1,source1_4
lead_807,source1,source1_7
lead_808,source5 ,
lead_809,source5,
lead_810,source1,source1_7
lead_811,source1,source1_6
lead_812,source1,source1_2
lead_813,source1,source1_7
lead_814,source5,
lead_815,source3,source3_6
lead_816,source1,source1_7
lead_817,source1,source1_7
lead_818,source2,source2_2
lead_819,source1,source1_4
lead_820,source5,
lead_821,source1,source1_7
lead_822,source1,source1_6
lead_823,source1,source1_2
lead_824,source1,source1_7
lead_825,source1,source1_7
lead_826,source2,source2_4
lead_827,source5,
lead_828,source1,source1_9
lead_829,source1,source1_6
lead_830,source1,source1_4
lead_831,source1,source1_10
lead_832,source2,source2_4
lead_833,source1,source1_6
lead_834,source1,source1_2
lead_835,source1,source1_7
lead_836,source1,source1_4
lead_837,source1,source1_7
lead_838,source5,
lead_839,source2,source2_4
lead_840,source1,source1_7
lead_841,source2,source2_4
lead_842,source2,source2_4
lead_843,source2,source2_1
lead_844,source1,source1_4
lead_845,source3,source3_3
lead_846,source1,source1_18
lead_847,source5,
lead_848,source1,source1_4
lead_849,source5 ,
lead_850,source1,source1_6
lead_851,source5,
lead_852,source5,
lead_853,source5,
lead_854,source1,source1_1
lead_855,source1,source1_2
lead_856,source1,source1_3
lead_857,source2,source2_4
lead_858,source1,source1_7
lead_859,source1,source1_3
lead_860,source1,source1_6
lead_861,source1,source1_2
lead_862,source1,source1_4
lead_863,source5,
lead_864,source1,source1_3
lead_865,source2,source2_4
lead_866,source5,
lead_867,source1,source1_4
lead_868,source1,source1_2
lead_869,source1,source1_4
lead_870,source1,source1_4
lead_871,source1,source1_2
lead_872,source1,source1_7
lead_873,source1,source1_4
lead_874,source1,source1_4
lead_875,source5,
lead_876,source2,source2_4
lead_877,source5,
lead_878,source5,
lead_879,source5,
lead_880,source1,source1_7
lead_881,source1,source1_8
lead_882,source2,source2_4
lead_883,source1,source1_7
lead_884,source1,source1_4
lead_885,source1,source1_7
lead_886,source2,source2_4
lead_887,source1,source1_6
lead_888,source2,source2_4
lead_889,source1,source1_2
lead_890,source1,source1_8
lead_891,source2,source2_4
lead_892,source1,source1_4
lead_893,source1,source1_2
lead_894,source5 ,
lead_895,source1,source1_4
lead_896,source1,source1_7
lead_897,source1,source1_7
lead_898,source1,source1_7
lead_899,source4,source4_2
lead_900,source1,source1_3
lead_901,source1,source1_7
lead_902,source1,source1_7
lead_903,source1,source1_7
lead_904,source5,
lead_905,source2,source2_4
lead_906,source1,source1_4
lead_907,source1,source1_10
lead_908,source2,source2_4
lead_909,source1,source1_6
lead_910,source1,source1_2
lead_911,source1,source1_7
lead_912,source7,
lead_913,source1,source1_3
lead_914,source1,source1_7
lead_915,source1,source1_6
lead_916,source1,source1_6
lead_917,source2,source2_4
lead_918,source1,source1_2
lead_919,source1,source1_6
lead_920,source1,source1_6
lead_921,source1,source1_7
lead_922,source1,source1_7
lead_923,source1,source1_4
lead_924,source1,source1_7
lead_925,source1,source1_6
lead_926,source2,source2_4
lead_927,source5,
lead_928,source1,source1_3
lead_929,source1,source1_7
lead_930,source1,source1_6
lead_931,source5,
lead_932,source2,source2_4
lead_933,source5,
lead_934,source1,source1_7
lead_935,source1,source1_4
lead_936,source2,source2_4
lead_937,source1,source1_7
lead_938,source1,source1_7
lead_939,source1,source1_4
lead_940,source1,source1_2
lead_941,source1,source1_1
lead_942,source1,source1_6
lead_943,source1,source1_7
lead_944,source1,source1_15
lead_945,source2,source2_4
lead_946,source1,source1_6
lead_947,source1,source1_4
lead_948,source1,source1_4
lead_949,source1,source1_7
lead_950,source1,source1_4
lead_951,source1,source1_6
lead_952,source1,source1_7
lead_953,source1,source1_4
lead_954,source2,source2_4
lead_955,source1,source1_3
lead_956,source1,source1_4
lead_957,source1,source1_1
lead_958,source1,source1_4
lead_959,source2,source2_4
lead_960,source1,source1_2
lead_961,source1,source1_4
lead_962,source1,source1_7
lead_963,source1,source1_2
lead_964,source1,source1_2
lead_965,source1,source1_1
lead_966,source2,source2_4
lead_967,source2,source2_4
lead_968,source1,source1_6
lead_969,source1,source1_3
lead_970,source1,source1_6
lead_971,source1,source1_30
lead_972,source1,source1_3
lead_973,source1,source1_4
lead_974,source1,source1_6
lead_975,source1,source1_22
lead_976,source1,source1_4
lead_977,source1,source1_3
lead_978,source1,source1_4
lead_979,source1,source1_6
lead_980,source2,source2_4
lead_981,source1,source1_6
lead_982,source5,
lead_983,source1,source1_7
lead_984,source1,source1_2
lead_985,source5,
lead_986,source5 ,
lead_987,source1,source1_23
lead_988,source1,source1_6
lead_989,source1,source1_7
lead_990,source1,source1_7
lead_991,source1,source1_3
lead_992,source1,source1_3
lead_993,source1,source1_7
lead_994,source1,source1_7
lead_995,source1,source1_4
lead_996,source1,source1_4
lead_997,source1,source1_7
lead_998,source1,source1_3
lead_999,source1,source1_3
lead_1000,source1,source1_3
lead_1001,source2,source2_4
lead_1002,source1,source1_6
lead_1003,source 5,
lead_1004,source1,source1_7
lead_1005,source1,source1_6
lead_1006,source1,source1_2
lead_1007,source1,source1_7
lead_1008,source1,source1_3
lead_1009,source1,source1_4
lead_1010,source3,source3_6
lead_1011,source1,source1_6
lead_1012,source1,source1_6
lead_1013,source1,source1_17
lead_1014,source1,source1_7
lead_1015,source1,source1_3
lead_1016,source1,source1_10
lead_1017,source1,source1_2
lead_1018,source1,source1_7
lead_1019,source1,source1_4
lead_1020,source1,source1_3
lead_1021,source1,source1_2
lead_1022,source1,source1_3
lead_1023,source1,source1_6
lead_1024,source1,source1_7
lead_1025,source1,source1_24
lead_1026,source2,source2_4
lead_1027,source1,source1_7
lead_1028,source1,source1_3
lead_1029,source1,source1_10
lead_1030,source1,source1_7
lead_1031,source1,source1_6
lead_1032,source5,
lead_1033,source1,source1_10
lead_1034,source1,source1_6
lead_1035,source1,source1_7
lead_1036,source1,source1_4
lead_1037,source1,source1_7
lead_1038,source1,source1_2
lead_1039,source1,source1_7
lead_1040,source1,source1_2
lead_1041,source2,source2_4
lead_1042,source2,source2_4
lead_1043,source1,source1_7
lead_1044,source5,
lead_1045,source1,source1_6
lead_1046,source1,source1_3
lead_1047,source1,source1_2
lead_1048,source5 ,
lead_1049,source1,source1_7
lead_1050,source1,source1_2
lead_1051,source1,source1_3
lead_1052,source1,source1_2
lead_1053,source1,source1_3
lead_1054,source1,source1_3
lead_1055,source1,source1_6
lead_1056,source1,source1_2
lead_1057,source1,source1_31
lead_1058,source2,source2_4
lead_1059,source1,source1_6
lead_1060,source1,source1_3
lead_1061,source2,source2_4
lead_1062,source1,source1_4
lead_1063,source5,
lead_1064,source1,source1_4
lead_1065,source1,source1_6
lead_1066,source1,source1_1
lead_1067,source1,source1_3
lead_1068,source1,source1_6
lead_1069,source1,source1_4
lead_1070,source1,source1_2
lead_1071,source1,source1_7
lead_1072,source1,source1_7
lead_1073,source1,source1_3
lead_1074,source1,source1_7
lead_1075,source1,source1_3
lead_1076,source1,source1_7
lead_1077,source1,source1_2
lead_1078,source1,source1_7
lead_1079,source1,source1_3
lead_1080,source1,source1_4
lead_1081,source1,source1_10
lead_1082,source1,source1_7
lead_1083,source1,source1_7
lead_1084,source1,source1_3
lead_1085,source1,source1_3
lead_1086,source1,source1_6
lead_1087,source1,source1_3
lead_1088,source1,source1_7
lead_1089,source1,source1_2
lead_1090,source1,source1_2
lead_1091,source1,source1_7
lead_1092,source1,source1_3
lead_1093,source2,source2_4
lead_1094,source1,source1_7
lead_1095,source2,source2_4
lead_1096,source1,source1_3
lead_1097,source3,source3_6
lead_1098,source1,source1_6
lead_1099,source1,source1_7
lead_1100,source1,source1_7
lead_1101,source1,source1_6
lead_1102,source1,source1_6
lead_1103,source1,source1_1
lead_1104,source2,source2_4
lead_1105,source1,source1_7
lead_1106,source1,source1_2
lead_1107,source1,source1_6
lead_1108,source2,source2_4
lead_1109,source5,
lead_1110,source 5,
lead_1111,source1,source1_7
lead_1112,source1,source1_6
lead_1113,source5,
lead_1114,source1,source1_10
lead_1115,source1,source1_6
lead_1116,source1,source1_6
lead_1117,source1,source1_7
lead_1118,source5,
