lead_id,credit_score,current_pincode,current_city,age_band,earning_per_month,credit_limit,credit_utilization,total_credit_cards,home_loan_amount,home_loan_balance_amount,total_home_loans,home_emi,total_cars,car_loan_amount,car_loan_balance_amount
lead_2423,734,560024,Bangalore,35-39,300K-400K,0,0,0,6600000,6298883,1,"59,284/Monthly",0,,
lead_27852,850,562114,Bangalore,55-59,300K-400K,1020000,68522,5,6000000,1872036,1,"72,608/Monthly",1,,
lead_59223,794,560102,Bangalore,40-44,500K-600K,0,0,0,10100000,9670380,1,"1,00,000/Monthly",0,,
lead_7337,786,562149,Bangalore,35-39,250K-300K,2660000,1133099,13,7691400,7274996,2,"18,281/Monthly",4,2620000.0,1147858.0
lead_61139,855,560068,Bangalore,40-44,500K-600K,3024000,42714,5,7500000,6688025,1,"63,808/Monthly",0,,
lead_40957,840,560066,Bangalore,35-39,200K and 250K,341000,42976,4,6350000,5000356,2,,0,,
lead_62493,785,560083,Bangalore,45-49,600K and Above,6396500,218561,12,0,0,0,,1,,
lead_41684,726,560067,Bangalore,30-34,200K-250K,45000,9999,1,4450000,4436791,1,"36,586/Monthly",0,,
lead_38963,861,560061,Bangalore,45-49,250K-300K,475000,47514,2,5042259,91142,1,"2,220/Monthly",1,,
lead_58339,845,560048,Bangalore,30-34,300K-400K,2311531,154951,15,6000000,2667632,1,"95,019/Monthly",0,,
lead_62828,835,560067,Bangalore,30-34,300K-400K,518000,90779,5,7500000,6964802,1,"76,965/Monthly",0,,
lead_4216,576,560097,Bangalore,40-44,400K-500K,0,0,0,13276250,8990289,2,,1,585000.0,0.0
lead_44889,782,560066,Bangalore,50-54,150K and 200K,0,0,0,0,0,0,,1,,
lead_58912,826,560087,Bangalore,35-39,600K and Above,0,0,1,24000000,7899197,2,"1,49,882/Monthly",0,,
lead_58917,809,560066,Bangalore,35-39,400K-500K,2612000,603399,10,1459619,896326,1,"18,000/Monthly",1,856761.0,0.0
lead_58024,805,560103,Bangalore,30-34,600K and Above,2507000,251580,10,7802941,7579813,2,,0,,
lead_49911,510,500062,Hyderabad,60 and Above,100K and 150K,0,0,0,0,0,0,,0,,
lead_49911,510,500062,Hyderabad,60 and Above,100K and 150K,0,0,0,0,0,0,,0,,
lead_49888,690,500008,Hyderabad,40-44,60K-70K,388000,251462,4,0,0,0,,0,,
lead_49888,655,500008,Hyderabad,40-44,60K-70K,329000,216135,3,0,0,0,,0,,
lead_57237,800,500001,Hyderabad,45-49,150K-200K,900000,139,4,0,0,0,,2,,
lead_57237,825,500027,Hyderabad,45-49,150K-200K,954000,728,4,0,0,0,,2,2924000.0,975540.0
lead_10281,847,560043,Bangalore,45-49,500K-600K,2000000,151474,4,0,0,0,,0,,
lead_62569,737,500004,Hyderabad,30-34,40K-50K,0,0,0,0,0,0,,0,,
lead_62569,677,500004,Hyderabad,30-34,40K-50K,0,0,0,0,0,0,,0,,
lead_58900,845,560037,Bangalore,35-39,600K and Above,7530900,716686,15,3482389,524543,1,"27,577/Monthly",3,2740000,1257934
lead_14629,724,560078,Bangalore,30-34,400K-500K,1200000,1047108,3,0,0,0,,1,,
lead_14629,724,560078,Bangalore,30-34,400K-500K,1200000,805831,3,0,0,0,,1,482000,0
lead_57063,16,500072,Hyderabad,60 and Above,60K-70K,204000,0,2,0,0,0,,0,,
lead_57063,16,500072,Hyderabad,Less than 20,60K-70K,204000,0,2,0,0,0,,0,,
lead_45300,817,560066,Bangalore,25-29,200K-250K,420000,35964,1,0,0,0,,0,,
lead_14440,807,560102,Bangalore,35-39,300K-400K,728000,242490,1,0,0,0,,2,,
lead_30539,803,560077,Bangalore,30-34,300K-400K,750000,0,1,2100000,725718,1,"59,210/Monthly",0,,
lead_36631,807,560066,Bangalore,25-29,250K-300K,2764002,250048,10,5130800,4573317,1,,1,,
lead_54412,16,500076,Rangareddy,25-29,40K-50K,0,0,0,0,0,0,,0,,
lead_54412,16,500076,Rangareddy,25-29,40K-50K,0,0,0,0,0,0,,0,,
lead_53890,729,847115,Darbhanga,40-44,70K-80K,304000,206408,3,0,0,0,,0,,
lead_53890,734,500042,Hyderabad,40-44,70K-80K,371000,219096,4,0,0,0,,0,,
lead_48364,814,560066,Bangalore,25-29,250K-300K,2796000,95376,10,0,0,0,,1,,
lead_35682,835,562149,Bangalore,25-29,150K-200K,260000,0,6,6621522,1456538,2,"8,899",0,,
lead_36492,820,560066,Bangalore,25-29,250K-300K,2440000,56075,8,3170799,3057789,2,395/Monthly,0,,
lead_35695,798,560068,Bangalore,25-29,200K-250K,1425500,271032,8,0,0,0,,0,,
lead_61109,796,560078,Bangalore,30-34,500K-600K,0,0,0,10196687,8776432,1,"77,691/Monthly",0,,
lead_43283,777,560098,Bangalore,35-39,150K-200K,0,0,0,3000000,2530491,1,"34,401/Monthly",0,,
lead_47845,786,560098,Bangalore,30-34,150K-200K,0,0,0,3200000,2952021,1,"28,688/Monthly",0,,
lead_43996,845,560067,Bangalore,45-49,250K-300K,1618000,46971,5,0,0,0,,1,,
lead_43996,869,560067,Bangalore,45-49,250K-300K,1618000,45562,7,0,0,0,,1,,
lead_43264,826,560066,Bangalore,35-39,250K-300K,327000,8518,4,0,0,0,,1,,
lead_56370,538,600026,Chennai,35-39,30K-40K,94000,8928,2,0,0,0,,0,,
lead_56370,687,600053,Kanchipuram,35-39,30K-40K,94000,42646,2,0,0,0,,0,,
lead_62328,851,560103,Bangalore,40-44,500K-600K,2982000,77993,6,11130962,8294705,2,"3,073/Monthly",1,,
lead_53914,764,500082,Hyderabad,40-44,150K-200K,410000,21583,3,0,0,0,,0,,
lead_53914,740,500082,Hyderabad,40-44,150K-200K,410000,84435,3,0,0,0,,0,,
lead_56429,772,500008,Hyderabad,35-39,60K-70K,0,0,0,0,0,0,,0,,
lead_39202,801,560061,Bangalore,25-29,200K-250K,799000,77776,4,0,0,0,,0,,
lead_54466,510,500090,Rangareddy,45-49,30K-40K,0,0,0,0,0,0,,0,,
lead_54466,510,500090,Rangareddy,45-49,30K-40K,0,0,0,0,0,0,,0,,
lead_56778,833,500055,Hyderabad,35-39,150K-200K,466000,-472,3,3500000,2901224,1,,0,,
lead_56778,816,500055,Hyderabad,35-39,150K-200K,699000,67070,4,3500000,2869393,1,,0,,
lead_56567,671,500072,Hyderabad,30-34,40K-50K,0,0,0,0,0,0,,0,,
lead_56567,636,500072,Hyderabad,30-34,40K-50K,0,0,0,0,0,0,,0,,
lead_57135,737,500032,Rangareddy,25-29,40K-50K,0,0,0,0,0,0,,0,,
lead_57135,704,754217,Kendrapara,25-29,40K-50K,0,0,0,0,0,0,,0,,
lead_36286,697,560043,Bangalore,45-49,250K-300K,75000,74999,1,5000000,4509307,1,"44,571/Monthly",1,,
lead_3950,845,560045,Bangalore,30-34,300K-400K,1191000,124530,4,6980000,5369292,1,,1,400000.0,0.0
lead_58075,851,560066,Bangalore,45-49,400K-500K,1600000,10104,4,0,0,0,,0,,
lead_57593,809,560087,Bangalore,30-34,400K-500K,6419000,245762,13,0,0,0,,0,,
lead_26814,801,560043,Bangalore,40-44,300K-400K,3352000,151218,7,0,0,0,,0,,
lead_43564,875,560066,Bangalore,35-39,200K-250K,820000,95030,11,4800000,778314,1,"7,807/Monthly",0,,
lead_43564,875,560059,Bangalore,35-39,200K-250K,820000,49579,11,4800000,777517,1,"7,807/Monthly",0,,
lead_41598,828,560064,Bangalore,30-34,250K-300K,2230000,47844,6,0,0,0,,0,,
lead_31161,510,560097,Bangalore,40-44,250K-300K,884000,738012,11,5073786,4950649,1,"42,895/Monthly",1,,
lead_14331,520,560107,Bangalore,35-39,300K-400K,597000,508403,8,0,0,0,,3,,
lead_62777,807,560067,Bangalore,30-34,300K-400K,1499000,101435,4,7796000,6206214,1,"57,379/Monthly",0,,
lead_62932,830,560103,Bangalore,30-34,400K-500K,3093001,141137,9,0,0,0,,0,,
lead_39438,590,560043,Bangalore,40-44,150K and 200K,310000,226767,5,3750000,413267,1,,2,,
lead_7593,755,560024,Bangalore,25-29,300K-400K,142000,6560,1,0,0,0,,0,,
lead_36019,792,560060,Bangalore,30-34,150K and 200K,368000,251358,5,0,0,0,,0,,
lead_48024,804,560060,Bangalore,35-39,250K-300K,150000,-250,3,6350000,4294971,3,"6,301/Monthly",0,,
lead_37340,807,560060,Bangalore,30-34,200K-250K,30000,0,1,4608000,4570194,1,"45,919/Monthly",0,,
lead_47695,842,560066,Bangalore,35-39,250K-300K,636000,113821,5,5907000,3023370,1,"51,910/Monthly",0,,
lead_37290,748,560068,Bangalore,35-39,200K-250K,0,0,0,4581205,4520333,1,,0,,
lead_2799,810,560045,Bangalore,35-39,300K-400K,1116000,22388,4,0,0,0,,1,580000.0,0.0
lead_44266,835,560098,Bangalore,30-34,150K-200K,140000,0,1,3945000,2581485,1,"37,929/Monthly",0,,
lead_59161,780,560037,Bangalore,40-44,400K-500K,373000,43153,4,8850000,8613582,1,"59,561/Monthly",2,802601.0,0.0
lead_62853,819,560037,Bangalore,35-39,400K-500K,2748000,508721,14,3015953,2599035,2,"10,110/Monthly",4,,
lead_38934,710,560061,Bangalore,35-39,200K-250K,0,20749,1,4636000,4197882,2,"1,171/Monthly",0,,
lead_4810,817,560077,Bangalore,45-49,250K-300K,1364000,187310,4,0,0,0,,1,604598.0,0.0
lead_10356,815,560043,Bangalore,25-29,250K-300K,194000,8582,2,0,0,0,,0,,
lead_46696,797,560097,Bangalore,50-54,150K-200K,696000,21529,3,1451587,1448843,1,,0,,
lead_14437,869,560048,Bangalore,35-39,300K-400K,2312000,79851,8,0,0,0,,1,,
lead_14437,869,560048,Bangalore,35-39,300K-400K,2312000,76479,8,0,0,0,,1,,
lead_28908,822,560045,Bangalore,30-34,250K-300K,1662000,120400,4,0,0,0,,0,,
lead_62713,833,560087,Bangalore,25-29,300K-400K,2529000,10581,6,4380000,3989280,1,,1,,
lead_56438,510,500062,Hyderabad,35-39,40K-50K,0,0,0,0,0,0,,1,,
lead_56438,510,500062,Hyderabad,35-39,40K-50K,0,0,0,0,0,0,,1,459000.0,0.0
lead_54989,18,500013,Hyderabad,40-44,30K-40K,0,0,0,0,0,0,,0,,
lead_54989,18,500013,Hyderabad,40-44,30K-40K,0,0,0,0,0,0,,0,,
lead_56546,707,500009,Hyderabad,25-29,150K-200K,300000,0,1,0,0,0,,0,,
lead_56546,711,500009,Hyderabad,25-29,150K-200K,300000,0,1,0,0,0,,0,,
lead_55118,765,518543,Kurnool,30-34,150K-200K,279850,40661,3,0,0,0,,0,,
lead_55118,769,500072,Hyderabad,30-34,150K-200K,279850,43568,3,0,0,0,,0,,
lead_56640,797,500008,Hyderabad,30-34,40K-50K,36000,34982,1,0,0,0,,0,,
lead_56640,797,500008,Hyderabad,30-34,40K-50K,36000,20600,1,0,0,0,,0,,
lead_57166,803,500074,Rangareddy,30-34,30K-40K,65000,0,1,0,0,0,,0,,
lead_57166,792,500074,Rangareddy,30-34,30K-40K,0,0,0,0,0,0,,0,,
lead_54589,510,500048,Rangareddy,25-29,40K-50K,0,0,0,0,0,0,,0,,
lead_54589,510,500048,Rangareddy,25-29,40K-50K,0,0,0,0,0,0,,0,,
lead_56379,739,395010,Surat,30-34,40K-50K,0,0,0,0,0,0,,0,,
lead_56379,786,341515,Nagaur,30-34,40K-50K,0,0,0,0,0,0,,0,,
lead_62702,18,500074,Rangareddy,25-29,40K-50K,0,0,0,0,0,0,,0,,
lead_62702,18,500074,Rangareddy,25-29,40K-50K,0,0,0,0,0,0,,0,,
lead_56741,16,500008,Hyderabad,40-44,60K-70K,125000,0,1,0,0,0,,1,,
lead_56741,16,500008,Hyderabad,40-44,60K-70K,125000,0,1,0,0,0,,1,288000.0,0.0
lead_8997,809,560102,Bangalore,30-34,400K-500K,7669000,622627,18,0,0,0,,0,,
lead_8997,809,560102,Bangalore,30-34,400K-500K,7669000,593771,18,0,0,0,,0,,
lead_58787,815,560037,Bangalore,25-29,300K-400K,1500000,80755,3,0,0,0,,0,,
lead_36852,529,560066,Bangalore,50-54,150K-200K,384000,362668,3,0,0,0,,2,,
lead_986,811,560092,Bangalore,35-39,250K-300K,500000,39712,2,0,0,0,,0,,
lead_53363,855,560100,Bangalore,40-44,500K-600K,4910000,158135,8,3626858,0,1,,1,,
lead_48847,885,562107,Bangalore,55-59,600K and Above,2500000,786368,5,0,0,0,,0,,
lead_38698,610,560087,Bangalore,45-49,250K-300K,342000,116432,2,2544819,2481593,1,,2,,
lead_29741,885,560077,Bangalore,45-49,500K-600K,1100000,0,2,5300000,0,1,"50,621/Monthly",0,,
lead_29741,861,560077,Bangalore,40-44,600K and Above,7760000,1343740,14,5300000,0,1,"50,621/Monthly",1,,
lead_59063,779,560103,Bangalore,40-44,400K-500K,1883000,38949,4,9000000,4602884,1,"1,11,107/Monthly",0,,
lead_48140,764,560066,Bangalore,45-49,200K and 250K,115000,87381,1,4000000,3699952,1,,2,,
lead_30616,845,562110,Bangalore,40-44,600K and Above,2358001,688303,7,0,0,0,,1,1502709.0,1164346.0
lead_62461,818,560050,Bangalore,55-59,600K and Above,7666000,48318,8,0,0,0,,1,,
lead_53518,869,562125,Bangalore,45-49,500K-600K,1487000,113190,2,3000000,0,1,,1,,
lead_62762,846,560067,Bangalore,35-39,300K-400K,1788000,38487,7,5749040,3770907,1,"70,000/Monthly",1,,
lead_45383,818,560064,Bangalore,40-44,150K-200K,766001,0,4,0,0,0,,0,,
lead_28625,801,562123,Bangalore,30-34,400K-500K,2303000,328781,7,0,0,0,,0,,
lead_5025,810,560045,Bangalore,50-54,600K and Above,6000000,113121,2,0,0,0,,0,,
lead_42547,803,560064,Bangalore,40-44,250K-300K,560000,10286,1,4990000,4665227,2,"2,779/Monthly",0,,
lead_28152,810,560064,Bangalore,50-54,300K-400K,2075000,233610,7,7000000,5424935,1,"50,147/Monthly",1,,
lead_37186,829,560105,Bangalore,40-44,150K and 200K,146000,9206,1,3238000,3099614,1,,2,,
lead_1152,843,560043,Bangalore,35-39,400K-500K,1027000,12951,3,0,0,0,,1,990000.0,0.0
lead_44392,852,560061,Bangalore,30-34,250K-300K,690000,65449,2,0,0,0,,0,,
lead_27577,800,560064,Bangalore,25-29,250K-300K,166000,11538,4,0,0,0,,0,,
lead_7435,845,560097,Bangalore,35-39,250K-300K,1835000,398830,6,8619000,8090199,2,"49,290/Monthly",1,688000.0,0.0
lead_7353,844,562110,Bangalore,45-49,500K-600K,3396000,331116,7,17102849,12799148,2,"95,552/Monthly",0,,
lead_44561,845,560087,Bangalore,35-39,250K-300K,415000,117598,3,9716000,5062484,3,"31,669/Monthly",0,,
lead_44561,869,560100,Bangalore,35-39,250K-300K,415000,122000,3,0,0,0,,0,,
lead_5751,776,560045,Bangalore,30-34,250K-300K,150000,20254,1,0,0,0,,0,,
lead_38953,879,560097,Bangalore,45-49,250K-300K,2277000,151089,5,0,0,0,,0,,
lead_37058,756,560066,Bangalore,25-29,200K-250K,313000,46156,3,4000000,2500000,1,"22,253/Monthly",1,,
lead_25352,829,560043,Bangalore,50-54,500K-600K,2300000,243667,3,0,0,0,,1,,
lead_2403,664,560092,Bangalore,30-34,400K-500K,77000,28435,2,7859250,7763756,1,"66,586/Monthly",0,,
lead_35193,767,560068,Bangalore,40-44,200K-250K,0,0,0,3200000,3182561,1,"31,888/Monthly",0,,
lead_61137,751,560066,Bangalore,40-44,600K and Above,0,0,0,30000000,29857319,1,"2,33,168/Monthly",0,,
lead_36300,861,560066,Bangalore,40-44,250K-300K,390000,12028,5,7500000,6560679,2,"53,679/Monthly",0,,
lead_273,697,560077,Bangalore,40-44,300K and Above,2800000,1024093,9,24401850,20720330,5,,1,,
lead_25246,885,560043,Bangalore,45-49,300K-400K,4273000,446827,13,0,0,0,,0,,
lead_38852,510,560066,Bangalore,40-44,150K-200K,0,0,0,0,0,0,,0,,
lead_3369,822,560064,Bangalore,45-49,300K-400K,770000,257502,1,4889638,4516876,1,"49,496/Monthly",1,2000000.0,0.0
lead_46624,749,560066,Bangalore,40-44,200K-250K,838400,151232,6,4000000,946406,1,"5,252/Monthly",1,,
lead_40355,799,560068,Bangalore,50-54,250K-300K,500000,0,1,0,0,0,,1,,
lead_40355,799,560068,Bangalore,50-54,250K-300K,500000,8636,1,0,0,0,,1,,
lead_43182,751,560043,Bangalore,30-34,150K-200K,0,0,0,0,0,0,,0,,
lead_62494,845,560114,Bangalore,45-49,600K and Above,1644000,31881,2,2069452,1450551,1,,0,,
lead_14469,709,560103,Bangalore,30-34,400K-500K,3160000,2927997,10,0,0,0,,0,,
lead_14469,709,560103,Bangalore,30-34,400K-500K,3160000,2849201,10,0,0,0,,0,,
lead_27040,846,560045,Bangalore,30-34,400K-500K,1100000,10121,2,0,0,0,,0,,
lead_1858,814,560045,Bangalore,30-34,300K-400K,270000,-128,2,6267000,5846916,1,"62,664/Monthly",1,704598.0,0.0
lead_54557,510,500037,Rangareddy,40-44,40K-50K,0,0,0,0,0,0,,0,,
lead_54557,510,500037,Rangareddy,40-44,40K-50K,0,0,0,0,0,0,,0,,
lead_62685,757,500024,Hyderabad,35-39,60K-70K,0,0,0,0,0,0,,0,,
lead_62685,757,500024,Hyderabad,35-39,70K-80K,0,0,0,0,0,0,,0,,
lead_58793,823,560103,Bangalore,30-34,400K-500K,2636000,412465,11,1767000,1526180,1,"15,914/Monthly",0,,
lead_39803,740,560068,Bangalore,25-29,150K-200K,169000,111785,4,3600000,3409105,1,"39,103/Monthly",0,,
lead_55491,18,122002,Gurgaon,55-59,60K-70K,0,0,0,0,0,0,,0,,
lead_55491,18,122002,Gurgaon,55-59,60K-70K,0,0,0,0,0,0,,0,,
lead_46007,641,560068,Bangalore,25-29,150K and 200K,100000,95958,1,0,0,0,,0,,
lead_38955,795,560049,Bangalore,35-39,200K and 250K,80000,-1,1,4625000,2607504,1,,0,,
lead_54492,664,500053,Hyderabad,55-59,40K-50K,0,0,0,0,0,0,,0,,
lead_54492,649,500053,Hyderabad,55-59,40K-50K,0,0,0,0,0,0,,0,,
lead_54252,510,524236,Nellore,30-34,Less than 30K,0,0,0,0,0,0,,0,,
lead_53871,770,500082,Hyderabad,35-39,40K-50K,50000,9341,2,0,0,0,,0,,
lead_53871,799,500082,Hyderabad,35-39,40K-50K,50000,5056,2,0,0,0,,0,,
lead_54407,826,500026,Hyderabad,40-44,80K-100K,78000,0,3,0,0,0,,1,,
lead_54407,826,500016,Hyderabad,40-44,80K-100K,165000,0,3,0,0,0,,1,920000.0,0.0
lead_53956,510,500037,Rangareddy,35-39,30K-40K,0,0,0,0,0,0,,0,,
lead_53956,510,500037,Rangareddy,35-39,30K-40K,0,0,0,0,0,0,,0,,
lead_49919,700,500089,Rangareddy,40-44,40K-50K,0,0,0,0,0,0,,0,,
lead_54055,18,500008,Hyderabad,45-49,60K-70K,0,0,0,0,0,0,,0,,
lead_54055,18,500008,Hyderabad,45-49,60K-70K,0,0,0,0,0,0,,0,,
lead_7166,845,560043,Bangalore,35-39,400K-500K,1191000,113330,6,11527083,9644090,2,"69,629/Monthly",0,,
lead_62867,706,560102,Bangalore,40-44,300K-400K,590000,506477,4,0,0,0,,1,,
lead_58094,844,560102,Bangalore,40-44,500K-600K,2898000,1468569,11,11200000,7892529,1,"79,443/Monthly",0,,
lead_38282,727,560068,Bangalore,40-44,150K-200K,10000,0,1,0,0,0,,1,,
lead_7273,835,560045,Bangalore,30-34,300K-400K,1920000,-15553,3,0,0,0,,0,,
lead_49837,777,560072,Bangalore,35-39,600K and Above,0,0,0,12000000,9816589,1,,0,,
lead_62486,799,560102,Bangalore,40-44,600K and Above,0,0,0,12000000,3572526,1,"33,860/Monthly",0,,
lead_45919,755,560061,Bangalore,25-29,150K-200K,522000,423280,6,0,0,0,,0,,
lead_34759,762,560064,Bangalore,25-29,250K-300K,0,0,0,5500000,4142399,1,"43,633/Monthly",0,,
lead_58670,789,562125,Bangalore,30-34,500K-600K,1468000,230603,6,4000000,1202480,1,"27,475/Monthly",0,,
lead_57470,826,560087,Bangalore,35-39,300K-400K,1100000,55449,2,3856896,1073727,1,"14,030/Monthly",0,,
lead_36930,822,560098,Bangalore,30-34,250K-300K,600000,-1188,2,0,0,0,,0,,
lead_58778,781,560103,Bangalore,30-34,500K-600K,1000000,1000,2,4000000,2813186,1,"1,00,000/Monthly",0,,
lead_34677,845,560064,Bangalore,50-54,600K and Above,300000,62393,3,20000000,14362778,1,"1,98,122/Monthly",9,26530000.0,12753137.0
lead_27251,772,560064,Bangalore,35-39,250K-300K,0,0,0,5300000,4551248,1,"44,738/Monthly",0,,
lead_36904,722,560077,Bangalore,35-39,250K-300K,0,0,0,0,0,0,,4,,
lead_29579,825,560064,Bangalore,40-44,300K-400K,1488000,76439,7,4350348,4248387,1,"38,167/Monthly",0,,
lead_42586,720,560066,Bangalore,50-54,150K-200K,521000,9008,3,0,0,0,,0,,
lead_7182,845,562110,Bangalore,35-39,600K and Above,4608000,387584,10,52200000,23142525,4,"54,943/Monthly",0,,
lead_7182,845,560099,Bangalore,35-39,600K and Above,4608000,383713,10,52200000,23250907,4,"49,626/Monthly",0,,
lead_4272,787,560064,Bangalore,30-34,250K-300K,755000,460988,5,0,0,0,,0,,
lead_1337,835,560043,Bangalore,35-39,600K and Above,8084000,979544,18,4488000,2411614,2,,0,,
lead_1113,823,562110,Bangalore,30-34,300K-400K,659000,963302,4,3080000,2973905,2,"11,492/Monthly",0,,
lead_36793,823,560097,Bangalore,40-44,150K and 200K,300000,39472,1,0,0,0,,0,,
lead_35058,708,560066,Bangalore,25-29,150K-200K,250000,79920,1,0,0,0,,0,,
lead_47849,820,560068,Bangalore,30-34,250K-300K,1734000,21736,5,0,0,0,,0,,
lead_54155,510,500072,Hyderabad,55-59,60K-70K,0,0,0,0,0,0,,0,,
lead_54155,510,500072,Hyderabad,55-59,60K-70K,0,0,0,0,0,0,,0,,
lead_54104,806,500023,Hyderabad,35-39,60K-70K,0,0,0,0,0,0,,0,,
lead_54104,806,500023,Hyderabad,35-39,70K-80K,0,0,0,0,0,0,,0,,
lead_56701,644,500035,Rangareddy,40-44,50K-60K,0,0,0,0,0,0,,0,,
lead_56701,635,500035,Rangareddy,40-44,70K-80K,0,0,0,0,0,0,,0,,
